maintype,grade,FD-score,LiA-score,CLIB-score,CLIB_stop-score,CILT-score,CILT_stop-score
leesboeken,6,89,81,40,35,67,70
leesboeken,3,77,64,40,33,65,69
leesboeken,5,96,88,47,44,62,64
leesboeken,6,85,70,47,41,61,64
leesboeken,2,97,88,46,42,63,65
leesboeken,2,87,78,41,36,65,68
leesboeken,2,80,74,42,41,69,69
leesboeken,5,98,93,51,50,60,61
leesboeken,5,83,76,41,39,68,70
school,3,91,79,40,34,63,66
school,3,95,88,53,50,68,70
leesboeken,6,89,79,43,40,63,65
leesboeken,5,86,76,40,37,66,68
school,3,79,71,44,39,67,70
leesboeken,3,75,59,32,30,71,72
leesboeken,5,78,70,36,34,70,72
school,6,90,83,43,37,64,68
media,4,62,53,29,26,80,82
leesboeken,3,84,76,40,35,70,73
leesboeken,2,86,79,44,39,65,68
leesboeken,5,89,82,43,39,63,66
leesboeken,7,77,72,36,32,71,73
leesboeken,7,103,94,48,47,60,61
leesboeken,5,85,73,40,36,65,68
school,5,84,79,46,42,70,73
school,5,73,66,38,33,70,73
leesboeken,5,75,61,38,35,70,72
media,4,66,58,32,25,78,82
leesboeken,2,74,66,34,32,72,73
leesboeken,7,64,53,31,30,77,78
leesboeken,2,89,79,39,36,67,69
school,3,94,86,39,37,68,69
leesboeken,7,63,55,29,26,75,77
leesboeken,5,87,77,37,34,68,70
media,4,64,57,35,30,78,80
school,6,81,75,39,35,70,72
leesboeken,2,92,83,38,34,68,70
leesboeken,7,90,80,41,37,65,67
leesboeken,3,93,82,44,40,61,64
leesboeken,5,83,75,35,28,68,72
school,6,49,48,22,17,89,92
leesboeken,7,83,73,35,35,69,69
leesboeken,5,91,77,47,46,60,61
media,4,67,58,38,32,73,76
leesboeken,5,80,71,37,30,71,75
leesboeken,2,71,60,32,28,72,74
media,4,53,49,28,28,83,84
leesboeken,5,80,75,51,45,63,67
school,3,93,82,50,48,60,61
leesboeken,5,82,74,38,36,69,71
media,4,72,64,37,33,73,75
media,4,56,43,30,25,79,81
leesboeken,5,89,83,42,39,67,69
media,4,68,56,30,27,77,78
media,4,66,59,35,33,77,78
media,4,66,55,33,32,77,78
school,4,93,85,47,44,63,65
media,4,77,68,41,41,72,72
media,4,70,60,37,33,72,75
leesboeken,5,78,72,42,40,68,69
leesboeken,2,88,79,41,39,65,66
leesboeken,5,90,81,43,39,62,64
leesboeken,5,89,79,43,36,64,69
leesboeken,2,95,85,39,36,65,67
leesboeken,2,85,76,39,37,67,68
school,4,99,94,54,50,65,67
media,4,75,69,33,31,75,77
leesboeken,2,76,53,45,19,68,83
school,4,89,81,40,39,67,68
leesboeken,4,86,77,38,34,67,69
leesboeken,5,95,84,51,48,59,60
school,6,97,92,56,52,60,63
leesboeken,1,94,87,50,46,59,62
school,4,72,65,37,33,74,76
leesboeken,7,82,71,47,41,64,67
media,4,57,51,37,33,75,78
media,4,74,65,41,38,67,69
leesboeken,5,88,82,42,39,67,69
leesboeken,2,109,102,59,55,57,59
media,4,81,71,43,40,65,66
school,5,89,79,39,36,66,68
leesboeken,7,58,32,34,30,71,73
media,4,69,61,38,34,73,75
leesboeken,2,81,72,41,39,67,68
school,3,80,73,40,37,72,74
leesboeken,6,74,65,38,36,71,73
media,4,70,63,36,30,71,75
media,3,88,82,37,36,68,69
media,4,74,67,35,32,73,75
leesboeken,3,94,83,43,38,62,65
media,4,80,68,40,35,67,70
media,4,55,50,28,26,82,83
school,4,75,69,38,33,71,73
media,4,72,60,31,28,73,75
media,4,64,58,38,32,76,79
school,3,99,91,50,46,61,64
media,4,72,66,34,31,79,81
school,6,75,66,37,33,71,73
media,3,89,83,47,45,64,65
leesboeken,5,82,71,36,34,67,68
leesboeken,5,91,84,44,40,64,66
leesboeken,8,82,74,37,37,70,70
school,6,77,71,40,38,70,71
school,6,62,51,34,27,76,80
media,4,78,69,38,33,71,74
leesboeken,5,84,78,44,40,67,70
school,5,81,77,45,43,72,73
leesboeken,2,82,77,36,31,74,78
school,6,51,47,24,16,84,88
media,4,56,45,27,23,81,83
media,4,60,51,31,28,77,79
school,3,80,73,42,37,69,72
leesboeken,7,46,32,24,23,83,83
media,4,47,44,25,21,89,91
leesboeken,3,89,79,46,43,62,64
school,4,95,89,51,49,61,62
media,4,66,55,35,30,74,77
leesboeken,5,95,87,46,44,64,65
media,4,76,65,35,29,72,75
leesboeken,7,77,65,35,31,71,74
leesboeken,5,85,76,41,39,65,66
media,4,72,69,36,32,75,77
leesboeken,7,71,65,35,31,76,78
leesboeken,7,75,64,36,30,69,73
school,6,71,59,41,37,70,72
leesboeken,2,100,92,44,41,64,66
leesboeken,5,75,64,34,29,71,73
leesboeken,5,94,83,40,36,66,68
leesboeken,2,83,76,42,38,67,70
leesboeken,7,83,74,40,37,65,67
leesboeken,5,73,63,36,31,71,75
leesboeken,2,70,58,32,30,72,73
school,6,78,72,43,37,69,72
leesboeken,2,89,82,39,32,68,72
media,4,73,65,35,32,75,77
leesboeken,5,51,42,26,24,84,86
leesboeken,5,92,85,42,39,65,67
school,4,92,85,48,45,62,64
leesboeken,2,80,72,38,34,71,74
school,4,84,78,41,40,69,69
leesboeken,7,79,71,37,35,70,71
media,3,94,85,46,39,61,65
leesboeken,5,86,79,38,35,71,73
leesboeken,7,63,47,27,23,78,80
leesboeken,2,74,68,36,31,72,75
media,4,62,56,37,34,76,78
media,4,73,61,32,25,72,76
leesboeken,5,94,86,43,40,64,66
leesboeken,5,91,82,44,40,67,69
leesboeken,7,88,78,39,35,67,69
leesboeken,7,84,70,37,34,70,72
school,3,95,85,55,50,59,62
media,4,75,66,39,37,70,72
media,4,62,52,23,20,82,83
leesboeken,2,84,78,37,35,71,72
leesboeken,4,101,92,47,43,61,63
leesboeken,6,81,66,34,31,69,70
leesboeken,5,87,80,41,37,70,72
leesboeken,5,98,91,48,47,62,63
leesboeken,7,84,76,48,46,63,64
leesboeken,3,100,89,44,41,61,63
leesboeken,4,85,76,42,36,67,71
leesboeken,7,77,69,41,37,71,72
leesboeken,7,61,51,22,20,82,83
media,4,65,50,33,33,72,73
leesboeken,5,83,75,41,32,68,73
media,5,80,76,43,40,69,71
school,4,112,104,66,64,50,52
school,5,96,86,44,41,63,64
school,6,74,70,40,34,74,78
leesboeken,5,89,80,40,39,67,68
leesboeken,5,86,75,43,41,65,66
school,4,87,83,55,54,71,72
school,6,87,78,43,41,63,64
media,4,85,75,39,36,69,71
leesboeken,2,79,68,34,33,71,71
media,4,75,66,36,32,71,74
media,4,66,55,32,29,74,76
school,6,71,68,41,35,75,79
leesboeken,7,83,76,36,32,70,73
leesboeken,2,87,78,38,36,69,71
leesboeken,2,84,72,45,41,63,66
school,4,82,75,44,35,69,74
school,4,89,83,47,45,64,65
leesboeken,5,94,84,49,47,60,61
media,4,78,71,40,33,70,74
leesboeken,7,83,76,38,35,71,73
media,4,80,72,41,37,71,73
school,5,85,78,44,38,67,70
leesboeken,5,84,78,38,35,69,71
leesboeken,1,124,117,69,65,51,53
leesboeken,5,50,36,19,15,84,86
leesboeken,4,84,69,35,33,66,68
leesboeken,7,87,74,40,37,65,67
leesboeken,5,64,55,33,28,74,77
leesboeken,5,83,74,42,39,64,66
leesboeken,3,85,76,41,37,68,70
school,6,84,76,40,38,68,69
leesboeken,3,71,56,38,34,70,73
leesboeken,6,88,77,43,40,62,64
media,4,73,63,42,37,68,71
leesboeken,5,78,70,36,33,71,73
leesboeken,7,81,75,32,28,74,76
school,4,78,70,37,35,71,72
leesboeken,6,85,75,41,38,65,67
leesboeken,2,65,54,28,22,76,80
school,6,53,46,23,20,85,87
leesboeken,2,84,74,40,36,67,69
media,4,74,68,36,32,75,77
leesboeken,5,80,72,44,38,67,70
leesboeken,5,81,69,37,32,67,70
leesboeken,6,91,82,42,39,64,65
media,4,71,62,37,31,73,77
media,4,75,65,46,43,65,67
leesboeken,3,89,81,46,44,64,65
leesboeken,2,78,71,38,36,71,72
leesboeken,5,73,59,34,29,71,74
leesboeken,5,63,50,32,26,73,77
school,6,80,73,38,35,69,71
leesboeken,2,99,90,46,41,63,66
leesboeken,7,85,76,39,34,67,70
media,4,74,64,28,27,76,77
media,4,64,57,36,32,77,80
school,6,65,58,40,36,74,77
media,4,67,55,35,34,74,75
leesboeken,5,79,64,38,35,67,69
media,4,82,73,40,38,69,70
media,4,82,72,43,39,66,69
leesboeken,7,90,81,41,38,66,68
school,4,80,77,47,43,68,71
leesboeken,5,63,51,27,24,79,81
leesboeken,3,60,54,36,32,79,81
leesboeken,7,98,89,54,48,57,60
leesboeken,2,76,71,37,34,72,74
school,4,91,83,48,45,64,66
school,3,87,80,44,38,65,68
school,4,85,76,50,46,63,66
leesboeken,4,97,84,47,43,59,62
leesboeken,5,95,86,44,41,64,66
media,4,62,52,30,27,77,78
media,4,76,70,37,33,73,76
leesboeken,2,80,72,47,43,63,65
leesboeken,5,88,79,41,40,68,69
leesboeken,5,88,77,45,39,60,63
leesboeken,7,91,82,40,36,67,70
media,4,78,70,37,37,73,72
school,5,72,65,32,28,73,76
leesboeken,5,71,65,34,30,74,77
leesboeken,5,95,87,45,41,62,65
leesboeken,5,91,85,44,40,65,68
leesboeken,4,80,73,39,33,69,72
school,5,88,80,41,40,63,65
leesboeken,7,83,72,33,29,70,72
leesboeken,2,87,81,48,41,62,67
leesboeken,2,91,85,45,41,65,67
leesboeken,5,85,74,40,36,64,66
leesboeken,5,93,84,39,36,66,68
leesboeken,7,80,71,43,38,65,68
leesboeken,2,94,86,43,38,67,70
leesboeken,5,75,68,36,34,72,73
school,5,92,87,51,48,65,67
leesboeken,2,97,90,49,46,61,62
school,4,65,60,35,30,74,77
media,4,67,63,35,32,78,80
school,6,66,61,33,30,77,79
leesboeken,7,92,80,39,36,65,67
leesboeken,5,95,84,46,44,63,64
school,6,84,73,42,36,69,73
leesboeken,2,82,72,35,31,71,74
school,5,85,74,44,39,64,67
media,4,86,70,41,34,67,71
leesboeken,2,92,83,42,37,66,69
leesboeken,2,99,91,45,44,65,65
media,4,56,51,28,26,81,82
leesboeken,4,88,80,43,40,62,64
leesboeken,5,77,68,38,33,68,71
leesboeken,2,76,65,34,30,71,74
leesboeken,5,91,84,46,43,63,65
leesboeken,2,85,78,38,34,69,71
school,4,92,84,41,36,63,66
leesboeken,2,84,79,39,39,69,69
media,4,77,66,32,27,74,77
leesboeken,3,69,61,35,34,73,74
leesboeken,2,88,79,42,37,66,69
media,4,76,67,43,39,69,71
leesboeken,7,84,76,39,32,70,74
leesboeken,2,88,80,39,32,70,73
leesboeken,5,87,82,45,44,66,67
school,4,87,80,45,42,67,68
leesboeken,5,86,79,36,34,71,72
leesboeken,2,99,92,45,40,65,68
leesboeken,2,104,93,48,46,57,58
leesboeken,2,84,79,37,37,71,71
leesboeken,2,89,78,42,39,62,64
leesboeken,2,95,85,39,35,65,67
school,4,77,69,44,43,70,71
school,3,94,87,45,41,63,66
leesboeken,5,94,87,50,47,61,63
school,6,64,52,30,29,78,78
leesboeken,2,90,81,36,32,71,73
school,5,66,59,33,29,76,79
leesboeken,7,94,85,45,44,62,63
media,4,77,62,26,25,74,76
leesboeken,8,75,71,33,29,78,80
leesboeken,5,90,82,40,38,65,66
school,5,76,75,52,51,67,68
leesboeken,7,74,67,36,30,72,76
leesboeken,3,77,65,36,34,69,70
leesboeken,6,51,41,23,22,84,84
school,5,61,57,24,22,86,87
school,6,91,78,43,42,63,64
leesboeken,2,86,75,40,39,65,65
leesboeken,5,89,82,45,41,64,66
media,4,78,70,36,29,71,75
school,3,70,67,28,25,84,86
leesboeken,7,81,67,31,26,69,72
media,4,70,57,39,35,71,73
leesboeken,7,63,53,25,20,79,82
leesboeken,5,83,76,48,43,64,67
media,4,81,72,39,34,68,71
leesboeken,3,96,88,42,39,64,66
school,5,84,77,36,32,69,71
school,3,85,80,45,44,71,71
media,4,62,51,31,27,78,80
school,4,74,68,37,31,73,77
media,4,48,42,27,25,83,84
leesboeken,5,93,85,40,36,66,69
leesboeken,2,77,63,35,32,70,72
leesboeken,5,73,63,35,32,71,73
media,4,74,66,34,29,73,76
leesboeken,7,91,85,44,41,65,67
media,4,71,57,37,35,70,72
leesboeken,7,86,76,44,44,66,66
leesboeken,5,79,71,41,38,70,72
leesboeken,5,75,67,36,30,72,75
school,5,60,63,48,45,84,86
media,4,64,52,29,25,77,79
media,4,81,74,40,38,69,71
leesboeken,5,80,72,38,34,68,70
leesboeken,5,94,86,52,48,61,63
leesboeken,5,89,83,43,42,67,68
leesboeken,5,77,64,30,25,74,77
leesboeken,7,79,69,40,36,66,69
leesboeken,2,87,79,38,36,71,72
leesboeken,5,87,80,39,35,70,72
leesboeken,2,79,75,42,38,69,71
leesboeken,2,92,89,54,55,69,69
leesboeken,2,85,73,33,31,69,70
media,4,84,76,40,37,69,71
school,2,92,85,51,51,63,63
leesboeken,5,76,68,32,29,75,76
media,4,70,62,30,28,77,79
school,5,84,77,43,38,67,70
leesboeken,5,86,77,42,38,64,67
school,5,70,64,35,33,77,78
school,6,62,56,38,31,75,79
school,6,70,63,33,29,75,77
leesboeken,2,81,74,38,34,72,75
leesboeken,3,82,67,40,37,66,68
leesboeken,3,89,78,33,30,69,71
leesboeken,5,55,33,28,25,76,78
school,4,83,69,43,39,64,66
leesboeken,5,88,77,40,36,66,69
school,3,88,82,47,43,67,69
leesboeken,2,77,65,35,31,68,70
media,4,66,58,37,31,73,77
school,5,85,75,45,42,63,64
school,6,87,83,50,47,68,69
leesboeken,5,99,90,48,46,61,63
media,4,55,41,25,20,78,81
media,4,71,64,35,30,78,81
school,5,98,90,52,45,61,65
leesboeken,5,84,78,35,33,71,73
school,3,94,87,47,45,62,63
school,6,73,67,38,31,74,78
media,3,88,82,40,36,67,69
leesboeken,7,82,66,39,35,65,67
media,5,98,91,45,43,64,65
leesboeken,2,79,70,43,39,65,68
school,6,47,47,27,23,90,92
leesboeken,7,77,65,41,39,68,69
school,5,74,66,40,39,69,70
leesboeken,2,80,74,37,34,72,73
leesboeken,2,88,80,36,34,67,69
media,4,81,71,40,35,70,73
school,4,87,79,46,44,63,64
leesboeken,7,94,83,46,41,63,66
media,4,76,65,40,35,71,73
leesboeken,6,59,49,32,28,76,79
school,4,86,79,9,9,86,86
leesboeken,7,83,72,44,42,66,68
school,5,95,85,54,52,60,62
leesboeken,5,64,55,36,33,75,77
leesboeken,6,42,34,20,15,90,93
leesboeken,2,95,88,46,40,63,67
leesboeken,5,95,88,48,46,60,61
leesboeken,3,94,84,47,46,61,62
leesboeken,2,92,83,46,39,62,66
media,4,66,53,33,26,75,79
school,5,75,67,37,30,70,74
school,4,86,79,50,47,65,67
leesboeken,5,83,77,43,40,67,68
leesboeken,5,98,90,43,38,66,69
school,6,81,69,35,31,69,71
media,4,72,64,35,30,77,80
media,4,75,67,33,29,76,78
school,3,93,84,38,36,69,70
media,4,64,56,26,23,79,81
media,4,63,56,41,34,74,78
leesboeken,7,82,75,40,37,68,70
school,5,78,71,38,36,74,75
leesboeken,2,86,77,40,40,66,66
school,6,53,50,31,27,83,85
leesboeken,5,84,76,33,33,72,72
leesboeken,5,86,75,43,40,64,66
leesboeken,5,75,69,39,37,71,72
leesboeken,4,75,70,36,34,73,74
leesboeken,7,72,66,34,31,74,76
school,6,79,67,44,40,67,69
leesboeken,2,86,80,44,42,66,67
leesboeken,5,91,76,47,44,61,62
leesboeken,5,61,52,34,31,75,77
leesboeken,2,81,74,36,34,72,73
media,4,72,66,34,30,76,78
leesboeken,5,82,68,37,32,67,70
leesboeken,5,82,71,42,40,66,67
school,5,74,67,29,25,75,78
school,5,75,59,41,37,68,70
school,6,86,80,45,42,71,73
leesboeken,4,62,49,33,30,76,77
school,5,60,55,29,26,82,84
media,4,81,74,37,34,73,74
leesboeken,7,88,84,42,41,71,72
leesboeken,2,89,79,39,36,65,66
leesboeken,6,78,64,39,36,67,69
leesboeken,5,89,82,44,41,66,68
media,4,79,73,47,39,65,70
leesboeken,5,82,74,42,36,66,69
school,5,84,68,42,38,60,63
leesboeken,7,82,66,42,40,63,64
school,6,58,50,34,31,80,82
media,4,83,74,35,31,68,71
leesboeken,5,82,70,39,36,66,67
school,4,62,59,35,33,79,81
media,4,87,77,43,40,66,68
school,4,76,65,39,34,67,71
leesboeken,5,94,88,45,40,64,67
leesboeken,7,62,52,28,27,78,79
leesboeken,5,86,79,39,33,68,71
school,5,67,63,36,29,74,79
school,4,84,80,41,36,72,75
media,4,72,67,36,33,74,76
media,4,71,61,41,36,69,72
media,4,63,56,30,25,81,84
leesboeken,6,88,79,40,37,67,68
school,6,87,79,43,39,67,69
school,5,78,78,43,38,80,82
media,4,72,63,30,29,79,80
leesboeken,2,81,70,33,31,69,71
leesboeken,5,92,84,46,40,65,69
school,6,79,71,26,24,78,79
school,5,74,67,34,30,73,75
media,4,70,60,37,35,73,74
school,3,84,79,40,30,73,79
leesboeken,2,80,66,39,37,64,65
leesboeken,2,94,85,42,35,64,68
media,4,66,54,29,23,74,77
media,4,79,75,42,40,77,77
leesboeken,5,90,81,40,40,65,65
media,3,89,83,47,45,64,65
leesboeken,3,91,84,47,42,64,67
media,4,75,68,39,33,72,76
leesboeken,4,87,81,45,38,65,70
leesboeken,5,79,74,36,34,73,74
leesboeken,5,82,70,39,36,66,67
media,4,77,69,32,30,75,77
leesboeken,5,84,74,38,40,67,66
leesboeken,5,82,74,37,34,70,72
leesboeken,5,83,78,45,36,67,72
leesboeken,7,87,81,40,38,66,67
leesboeken,2,72,67,35,30,73,76
leesboeken,7,85,76,41,37,66,68
leesboeken,2,85,74,43,41,65,66
school,3,86,82,56,51,67,70
leesboeken,5,77,71,39,37,74,74
leesboeken,2,84,78,40,36,67,70
leesboeken,6,47,30,21,18,86,87
school,4,75,71,41,36,75,78
leesboeken,2,86,79,43,39,68,70
leesboeken,5,83,77,34,31,73,75
media,5,93,86,45,42,63,65
leesboeken,2,83,74,40,37,68,70
leesboeken,5,83,73,44,38,66,69
school,6,80,69,44,42,66,67
leesboeken,2,76,62,38,35,68,70
leesboeken,2,97,90,53,49,58,61
media,4,71,63,36,32,73,75
school,4,81,75,37,36,72,73
school,5,60,57,32,29,82,83
leesboeken,4,74,60,38,30,68,73
leesboeken,5,78,70,41,38,66,68
leesboeken,5,87,79,44,40,62,64
school,5,95,86,45,44,63,64
leesboeken,3,93,85,49,47,63,64
leesboeken,5,92,86,45,42,66,68
leesboeken,6,84,75,39,35,68,71
leesboeken,5,83,75,39,34,68,71
school,6,79,70,35,29,75,78
leesboeken,2,69,59,33,31,74,75
school,5,83,81,45,40,75,77
leesboeken,7,77,63,37,33,68,70
leesboeken,7,89,81,44,41,62,64
leesboeken,2,92,85,38,34,69,71
leesboeken,5,81,71,37,33,68,70
school,4,79,72,38,33,73,76
school,6,82,78,53,45,64,69
leesboeken,3,73,65,35,32,70,72
leesboeken,7,75,65,33,30,74,76
media,4,77,68,33,30,70,72
media,4,68,59,35,32,72,74
media,4,77,62,41,39,66,67
leesboeken,5,84,77,45,41,67,69
school,6,69,65,38,35,82,85
leesboeken,5,73,62,37,34,69,71
school,4,93,85,52,51,63,64
school,6,75,73,48,46,72,74
leesboeken,5,81,70,37,36,68,69
school,5,73,64,34,32,74,76
school,5,87,80,40,34,68,72
leesboeken,7,104,97,50,48,63,64
school,6,96,88,48,44,63,66
leesboeken,5,83,75,39,34,68,71
leesboeken,7,94,88,51,49,60,61
leesboeken,3,80,69,35,31,71,73
leesboeken,5,77,72,39,35,72,75
school,3,81,75,36,35,70,71
school,6,61,55,25,23,83,84
school,6,92,83,45,39,64,68
leesboeken,7,93,83,45,42,61,63
leesboeken,5,75,64,40,36,69,72
school,3,103,96,57,51,59,62
school,3,94,86,47,43,64,66
media,4,81,72,31,26,75,77
media,4,82,72,41,37,68,70
media,3,84,78,44,41,67,69
leesboeken,7,75,68,41,37,69,71
school,5,84,71,41,36,64,67
leesboeken,7,101,93,44,39,64,67
leesboeken,2,89,84,46,39,63,68
leesboeken,1,123,116,57,53,61,63
school,6,81,59,53,44,58,64
leesboeken,2,85,75,43,38,65,68
school,3,83,74,46,44,63,64
media,4,55,51,33,27,83,86
leesboeken,2,93,83,43,42,63,64
media,4,56,39,27,24,78,80
media,4,75,60,39,37,71,72
leesboeken,5,86,80,45,40,65,69
leesboeken,7,92,88,51,47,67,69
school,4,93,84,42,39,64,65
media,4,73,64,42,39,71,73
leesboeken,5,98,85,50,46,57,60
media,4,60,51,32,28,76,78
leesboeken,5,94,89,46,45,65,66
media,4,90,79,43,37,67,71
school,6,76,71,37,34,74,76
leesboeken,7,89,82,40,40,68,69
leesboeken,7,93,78,46,43,59,61
school,4,87,80,42,40,69,71
media,4,81,71,40,38,67,68
leesboeken,5,74,67,38,34,70,72
leesboeken,3,85,74,40,34,65,69
school,5,85,77,44,42,67,68
leesboeken,3,78,64,36,32,71,74
media,4,56,40,22,20,82,84
school,6,75,66,34,31,73,76
leesboeken,7,70,59,32,28,73,75
media,3,87,81,37,35,69,71
leesboeken,6,52,43,29,26,79,81
leesboeken,3,90,81,46,41,63,66
leesboeken,4,88,80,35,33,69,70
school,5,71,52,38,33,67,70
media,4,86,75,38,32,69,72
school,6,65,60,32,29,77,79
school,6,74,66,38,33,72,74
media,4,81,73,40,39,69,69
school,5,68,63,34,30,77,79
media,4,85,76,40,33,65,70
leesboeken,5,79,69,33,29,68,70
media,4,73,66,40,34,70,73
leesboeken,5,89,82,43,34,66,71
leesboeken,7,79,75,38,32,72,76
leesboeken,7,84,73,39,35,68,70
media,4,72,62,34,31,74,75
school,6,66,58,31,28,77,79
school,5,83,75,41,42,69,68
leesboeken,5,93,86,41,37,65,67
leesboeken,2,99,92,40,38,64,66
school,6,76,70,50,43,69,73
leesboeken,7,74,62,32,31,73,74
leesboeken,7,85,76,38,34,67,70
leesboeken,5,92,82,41,39,65,66
media,4,67,58,34,29,77,80
school,6,73,65,41,34,73,77
leesboeken,5,82,73,40,36,68,71
media,4,82,74,45,40,68,71
leesboeken,5,85,72,34,33,68,69
leesboeken,2,83,74,37,31,69,73
leesboeken,7,86,78,46,43,67,69
media,4,80,71,41,37,68,70
leesboeken,5,91,83,41,37,66,68
leesboeken,5,81,73,38,31,68,72
school,6,81,76,43,38,72,76
leesboeken,7,102,94,53,49,60,62
media,4,61,51,34,30,75,78
leesboeken,5,79,73,43,41,68,69
leesboeken,2,83,75,38,33,67,70
leesboeken,2,77,68,38,32,69,72
leesboeken,5,72,67,34,30,77,80
school,6,62,59,36,32,79,81
leesboeken,7,73,59,38,34,69,71
leesboeken,2,86,73,46,39,65,69
leesboeken,2,84,78,39,34,70,72
school,6,45,49,42,38,93,95
leesboeken,6,89,77,44,39,63,66
media,4,77,70,36,34,74,76
media,4,64,56,33,29,79,82
school,5,75,68,44,42,71,73
leesboeken,5,70,62,34,31,73,75
leesboeken,2,100,92,49,40,61,66
media,4,68,58,29,24,77,80
leesboeken,5,85,80,41,38,68,70
leesboeken,5,86,78,44,41,65,67
media,3,109,101,56,53,55,57
media,4,73,59,37,33,69,72
leesboeken,2,82,76,37,34,71,72
leesboeken,7,53,42,20,16,81,84
media,4,72,62,39,35,71,73
leesboeken,5,73,66,35,31,74,77
leesboeken,5,85,78,44,40,66,68
media,4,56,52,36,29,80,84
leesboeken,7,73,64,34,30,73,75
school,5,68,58,28,24,79,81
leesboeken,5,88,82,45,41,66,68
leesboeken,2,86,80,43,38,67,70
media,4,81,74,37,30,71,75
leesboeken,5,84,76,48,43,65,68
school,6,85,77,29,25,74,77
leesboeken,5,78,68,37,36,68,70
leesboeken,7,81,73,37,33,66,69
leesboeken,5,93,86,44,40,64,67
school,5,80,69,38,35,66,68
leesboeken,5,59,56,38,35,77,79
media,4,80,68,40,35,69,73
school,6,75,66,39,36,75,77
leesboeken,5,88,80,49,45,62,64
school,4,90,85,51,50,66,67
school,6,81,72,36,31,69,72
leesboeken,7,82,62,40,37,65,67
media,4,77,68,43,40,68,70
leesboeken,2,65,59,36,32,73,76
school,6,82,72,41,38,65,67
leesboeken,5,96,84,46,43,59,61
school,5,56,51,23,20,87,88
school,3,100,93,60,52,56,61
leesboeken,4,76,62,30,28,72,74
leesboeken,7,75,67,38,34,72,75
leesboeken,5,92,86,45,42,65,67
leesboeken,2,95,83,41,39,62,63
leesboeken,7,82,72,43,39,68,70
school,4,80,76,43,40,71,73
media,4,68,60,28,26,78,80
school,6,58,54,30,32,80,79
school,5,72,69,37,35,77,78
leesboeken,7,91,82,48,47,62,63
media,4,73,69,41,39,74,75
leesboeken,2,85,77,42,37,66,70
leesboeken,5,90,76,45,40,62,65
media,4,74,66,40,37,68,70
leesboeken,5,73,56,35,31,68,70
media,4,75,66,38,34,72,74
leesboeken,5,80,69,34,30,69,71
leesboeken,6,71,57,40,34,68,71
media,4,59,52,36,32,79,82
school,4,89,80,46,43,63,65
leesboeken,5,82,75,42,38,66,69
leesboeken,5,74,63,38,34,69,71
leesboeken,5,92,84,45,39,62,66
leesboeken,7,79,74,40,32,70,74
leesboeken,5,92,84,41,38,67,69
leesboeken,6,66,52,33,29,71,74
leesboeken,5,93,82,44,43,62,62
leesboeken,7,67,44,35,31,70,72
school,3,96,88,55,48,60,64
leesboeken,5,88,78,41,38,65,67
school,5,59,43,31,27,73,75
media,4,62,54,32,26,79,82
leesboeken,5,91,82,47,44,61,63
leesboeken,8,85,78,36,35,71,72
leesboeken,2,94,88,44,40,65,68
leesboeken,5,90,81,43,38,62,65
leesboeken,4,95,89,45,42,67,69
leesboeken,5,90,81,41,39,66,67
media,4,66,52,33,29,74,76
leesboeken,7,85,77,41,39,66,67
leesboeken,5,88,82,45,40,67,70
media,4,64,55,41,38,73,75
leesboeken,7,100,90,49,48,59,60
media,4,70,62,38,34,71,73
school,3,82,77,39,33,71,74
leesboeken,5,78,70,36,31,71,74
leesboeken,6,58,50,26,26,82,82
school,5,69,64,41,34,76,80
leesboeken,7,91,83,42,38,65,67
leesboeken,2,101,92,43,38,60,63
leesboeken,2,100,91,51,46,58,61
leesboeken,5,75,63,40,32,68,73
leesboeken,5,77,67,41,37,67,70
leesboeken,5,74,63,38,32,71,75
leesboeken,5,79,67,38,33,69,71
leesboeken,5,87,77,41,40,67,68
leesboeken,7,80,72,33,31,70,72
leesboeken,2,90,83,38,35,71,73
media,4,67,61,30,27,77,79
leesboeken,2,80,72,37,29,69,73
leesboeken,5,81,68,46,40,62,65
leesboeken,6,75,59,34,28,70,73
leesboeken,2,84,74,42,39,64,66
school,3,86,81,47,42,67,70
leesboeken,2,91,81,42,41,61,61
leesboeken,7,76,67,39,37,69,69
school,5,75,67,32,30,74,75
media,4,77,68,41,34,73,76
leesboeken,2,83,70,43,40,64,66
leesboeken,4,74,63,37,34,69,71
school,5,70,67,39,34,75,78
school,6,76,69,31,27,76,78
leesboeken,7,95,76,43,37,59,62
leesboeken,5,94,87,46,43,63,64
leesboeken,7,89,74,42,39,61,64
media,4,63,56,34,32,78,79
school,4,82,77,48,46,68,69
school,6,72,65,36,33,71,73
media,4,68,60,36,31,77,80
media,4,74,70,37,35,73,75
leesboeken,2,91,84,38,32,71,75
media,4,62,56,39,35,78,80
leesboeken,2,77,63,39,36,68,69
school,6,90,83,45,40,66,69
school,5,56,50,33,30,79,80
school,3,99,92,48,44,64,67
leesboeken,7,89,77,45,39,61,64
media,4,71,64,34,28,75,79
media,4,65,58,37,33,79,81
leesboeken,5,91,84,42,38,63,65
leesboeken,5,72,62,33,29,72,74
leesboeken,2,84,77,36,33,71,73
leesboeken,6,75,61,41,38,68,69
leesboeken,5,86,80,47,41,65,69
media,4,72,59,44,39,71,74
leesboeken,5,84,74,34,30,69,72
leesboeken,2,78,71,39,36,69,70
media,4,74,66,38,36,76,77
leesboeken,7,80,74,43,40,68,70
